name_msa,CAGR,volatility,score,rank,msa,msa_rank_label
"Amarillo, TX Metro Area",0.0337328332,0.0668730161,0.5044311607,191,11100,"Rank 191 : Amarillo, TX Metro Area"
"Redding, CA Metro Area",0.0168737798,0.0336167171,0.5019460942,192,39820,"Rank 192 : Redding, CA Metro Area"
"Syracuse, NY Metro Area",0.0095850923,0.019255989,0.497772008,193,45060,"Rank 193 : Syracuse, NY Metro Area"
"Salt Lake City-Murray, UT Metro Area",0.0272112945,0.0546908137,0.4975478082,194,41620,"Rank 194 : Salt Lake City-Murray, UT Metro Area"
"Saginaw, MI Metro Area",0.0124316322,0.0251722912,0.4938617657,195,40980,"Rank 195 : Saginaw, MI Metro Area"
"Bangor, ME Metro Area",0.0086725095,0.0178213225,0.486636695,196,12620,"Rank 196 : Bangor, ME Metro Area"
"Scranton--Wilkes-Barre, PA Metro Area",0.0126728711,0.026066323,0.4861779347,197,42540,"Rank 197 : Scranton--Wilkes-Barre, PA Metro Area"
"Corpus Christi, TX Metro Area",0.0150032214,0.0309315428,0.485046009,198,18580,"Rank 198 : Corpus Christi, TX Metro Area"
"Hanford-Corcoran, CA Metro Area",0.0256736592,0.0538008905,0.4771976634,199,25260,"Rank 199 : Hanford-Corcoran, CA Metro Area"
"Sioux City, IA-NE-SD Metro Area",0.0204919146,0.04295258,0.4770822746,200,43580,"Rank 200 : Sioux City, IA-NE-SD Metro Area"
"Sheboygan, WI Metro Area",0.0078977926,0.0167302077,0.4720678171,201,43100,"Rank 201 : Sheboygan, WI Metro Area"
"Sioux Falls, SD-MN Metro Area",0.0289201419,0.061272258,0.4719940615,202,43620,"Rank 202 : Sioux Falls, SD-MN Metro Area"
"Cincinnati, OH-KY-IN Metro Area",0.0126458824,0.026844168,0.4710849081,203,17140,"Rank 203 : Cincinnati, OH-KY-IN Metro Area"
"Charlottesville, VA Metro Area",0.0210746729,0.0448042184,0.4703725146,204,16820,"Rank 204 : Charlottesville, VA Metro Area"
"Cleveland, OH Metro Area",0.0112740264,0.0240330627,0.4691048538,205,17410,"Rank 205 : Cleveland, OH Metro Area"
"Napa, CA Metro Area",0.0201655623,0.0435038271,0.4635353638,206,34900,"Rank 206 : Napa, CA Metro Area"
"Barnstable Town, MA Metro Area",0.013945979,0.0301650848,0.4623218883,207,12700,"Rank 207 : Barnstable Town, MA Metro Area"
"Pittsburgh, PA Metro Area",0.0119560532,0.025879972,0.4619809183,208,38300,"Rank 208 : Pittsburgh, PA Metro Area"
"Williamsport, PA Metro Area",0.0253875913,0.054959965,0.4619288116,209,48700,"Rank 209 : Williamsport, PA Metro Area"
"Iowa City, IA Metro Area",0.0264748204,0.0576836656,0.4589656372,210,26980,"Rank 210 : Iowa City, IA Metro Area"
"Kingston, NY Metro Area",0.009558595,0.0209011079,0.4573248008,211,28740,"Rank 211 : Kingston, NY Metro Area"
"Columbia, SC Metro Area",0.017659834,0.0389016764,0.4539607456,212,17900,"Rank 212 : Columbia, SC Metro Area"
"Flint, MI Metro Area",0.0151453,0.0336534228,0.4500374341,213,22420,"Rank 213 : Flint, MI Metro Area"
"Albuquerque, NM Metro Area",0.0161605264,0.0361460623,0.447089542,214,10740,"Rank 214 : Albuquerque, NM Metro Area"
"Yuma, AZ Metro Area",0.0176188066,0.039494447,0.446108452,215,49740,"Rank 215 : Yuma, AZ Metro Area"
"Vallejo, CA Metro Area",0.0303428253,0.068295951,0.4442843947,216,46700,"Rank 216 : Vallejo, CA Metro Area"
"Mankato, MN Metro Area",0.0136033325,0.0307977084,0.4416995044,217,31860,"Rank 217 : Mankato, MN Metro Area"
"Fond du Lac, WI Metro Area",0.0133782564,0.0305136764,0.4384347593,218,22540,"Rank 218 : Fond du Lac, WI Metro Area"
"Montgomery, AL Metro Area",0.011664089,0.0266943818,0.4369492067,219,33860,"Rank 219 : Montgomery, AL Metro Area"
"Jonesboro, AR Metro Area",0.0150422699,0.0344481045,0.4366646631,220,27860,"Rank 220 : Jonesboro, AR Metro Area"
"San Angelo, TX Metro Area",0.0533438086,0.1238466457,0.4307246941,221,41660,"Rank 221 : San Angelo, TX Metro Area"
"Walla Walla, WA Metro Area",0.0150437536,0.0359858039,0.4180468947,222,47460,"Rank 222 : Walla Walla, WA Metro Area"
"Hinesville, GA Metro Area",0.0193402077,0.0468150251,0.4131196705,223,25980,"Rank 223 : Hinesville, GA Metro Area"
"Lexington Park, MD Metro Area",0.0164435997,0.0400560481,0.4105147782,224,30500,"Rank 224 : Lexington Park, MD Metro Area"
"Athens-Clarke County, GA Metro Area",0.0258937399,0.0642350029,0.4031095004,225,12020,"Rank 225 : Athens-Clarke County, GA Metro Area"
"College Station-Bryan, TX Metro Area",0.0274010313,0.0683492664,0.4008972259,226,17780,"Rank 226 : College Station-Bryan, TX Metro Area"
"Florence-Muscle Shoals, AL Metro Area",0.0125110031,0.0312551544,0.4002860771,227,22520,"Rank 227 : Florence-Muscle Shoals, AL Metro Area"
"Greenville, NC Metro Area",0.0145595452,0.0364017155,0.3999686565,228,24780,"Rank 228 : Greenville, NC Metro Area"
"St. Louis, MO-IL Metro Area",0.0091891776,0.0230132361,0.3992996705,229,41180,"Rank 229 : St. Louis, MO-IL Metro Area"
"York-Hanover, PA Metro Area",0.0089684378,0.022509958,0.3984209048,230,49620,"Rank 230 : York-Hanover, PA Metro Area"
"Ames, IA Metro Area",0.0092135308,0.0231632846,0.3977644336,231,11180,"Rank 231 : Ames, IA Metro Area"
"Omaha, NE-IA Metro Area",0.0141209946,0.0358827498,0.3935315643,232,36540,"Rank 232 : Omaha, NE-IA Metro Area"
"Canton-Massillon, OH Metro Area",0.0556292325,0.1423509291,0.3907893884,233,15940,"Rank 233 : Canton-Massillon, OH Metro Area"
"Columbus, GA-AL Metro Area",0.0087549751,0.0225893564,0.3875708065,234,17980,"Rank 234 : Columbus, GA-AL Metro Area"
"Wichita, KS Metro Area",0.0125804908,0.0327984057,0.3835701913,235,48620,"Rank 235 : Wichita, KS Metro Area"
"Urban Honolulu, HI Metro Area",0.011339811,0.0301219349,0.3764635665,236,46520,"Rank 236 : Urban Honolulu, HI Metro Area"
"Mansfield, OH Metro Area",0.0096492217,0.0258444886,0.3733570376,237,31900,"Rank 237 : Mansfield, OH Metro Area"
"Jackson, MS Metro Area",0.009910992,0.0267668905,0.3702705779,238,27140,"Rank 238 : Jackson, MS Metro Area"
"Abilene, TX Metro Area",0.0156623118,0.0426326077,0.3673786947,239,10180,"Rank 239 : Abilene, TX Metro Area"
"Alexandria, LA Metro Area",0.0091438302,0.0249163164,0.3669816218,240,10780,"Rank 240 : Alexandria, LA Metro Area"
"Burlington-South Burlington, VT Metro Area",0.0103870248,0.0283282854,0.3666662001,241,15540,"Rank 241 : Burlington-South Burlington, VT Metro Area"
"Niles, MI Metro Area",0.0122304353,0.0335058839,0.3650235101,242,35660,"Rank 242 : Niles, MI Metro Area"
"Hickory-Lenoir-Morganton, NC Metro Area",0.0086729853,0.024435242,0.3549375664,243,25860,"Rank 243 : Hickory-Lenoir-Morganton, NC Metro Area"
"Hattiesburg, MS Metro Area",0.0091971061,0.0260998021,0.3523822144,244,25620,"Rank 244 : Hattiesburg, MS Metro Area"
"Columbus, IN Metro Area",0.0255429663,0.0727718607,0.3510005938,245,18020,"Rank 245 : Columbus, IN Metro Area"
"Jefferson City, MO Metro Area",0.0148351677,0.0428101265,0.3465340783,246,27620,"Rank 246 : Jefferson City, MO Metro Area"
"Hagerstown-Martinsburg, MD-WV Metro Area",0.0105713755,0.0311118979,0.33978562,247,25180,"Rank 247 : Hagerstown-Martinsburg, MD-WV Metro Area"
"Flagstaff, AZ Metro Area",0.0170803031,0.0503998804,0.3388957059,248,22380,"Rank 248 : Flagstaff, AZ Metro Area"
"Wichita Falls, TX Metro Area",0.0138665657,0.0409367774,0.3387312475,249,48660,"Rank 249 : Wichita Falls, TX Metro Area"
"Blacksburg-Christiansburg-Radford, VA Metro Area",0.0180207317,0.0532391479,0.338486479,250,13980,"Rank 250 : Blacksburg-Christiansburg-Radford, VA Metro Area"
"Evansville, IN Metro Area",0.0268351849,0.0837367284,0.320470902,251,21780,"Rank 251 : Evansville, IN Metro Area"
"Green Bay, WI Metro Area",0.0118648551,0.0374924281,0.316460035,252,24580,"Rank 252 : Green Bay, WI Metro Area"
"Grand Island, NE Metro Area",0.0213918531,0.067788913,0.315565661,253,24260,"Rank 253 : Grand Island, NE Metro Area"
"Lafayette-West Lafayette, IN Metro Area",0.021872066,0.0696192434,0.3141669595,254,29200,"Rank 254 : Lafayette-West Lafayette, IN Metro Area"
"Las Cruces, NM Metro Area",0.0112144116,0.0358120911,0.3131459595,255,29740,"Rank 255 : Las Cruces, NM Metro Area"
"Chico, CA Metro Area",0.0100475933,0.0322081359,0.311958238,256,17020,"Rank 256 : Chico, CA Metro Area"
"Enid, OK Metro Area",0.0223494755,0.071712072,0.3116556924,257,21420,"Rank 257 : Enid, OK Metro Area"
"Tulsa, OK Metro Area",0.0138168816,0.0450991925,0.3063664971,258,46140,"Rank 258 : Tulsa, OK Metro Area"
"Odessa, TX Metro Area",0.0337470885,0.1141246617,0.2957037325,259,36220,"Rank 259 : Odessa, TX Metro Area"
"Chambersburg, PA Metro Area",0.0092046512,0.0314570267,0.2926103369,260,16540,"Rank 260 : Chambersburg, PA Metro Area"
"Dalton, GA Metro Area",0.0135245651,0.0468051659,0.288954539,261,19140,"Rank 261 : Dalton, GA Metro Area"
"Pittsfield, MA Metro Area",0.0062887423,0.0219517279,0.2864805139,262,38340,"Rank 262 : Pittsfield, MA Metro Area"
"Morgantown, WV Metro Area",0.013588472,0.0482325331,0.2817283496,263,34060,"Rank 263 : Morgantown, WV Metro Area"
"Champaign-Urbana, IL Metro Area",0.0127058282,0.0453891228,0.2799311239,264,16580,"Rank 264 : Champaign-Urbana, IL Metro Area"
"Atlantic City-Hammonton, NJ Metro Area",0.0080459056,0.0308041495,0.261195513,265,12100,"Rank 265 : Atlantic City-Hammonton, NJ Metro Area"
"Terre Haute, IN Metro Area",0.0137679392,0.0528910513,0.2603075353,266,45460,"Rank 266 : Terre Haute, IN Metro Area"
"Springfield, OH Metro Area",0.0054826259,0.021533862,0.2546048587,267,44220,"Rank 267 : Springfield, OH Metro Area"
"Hammond, LA Metro Area",0.0155562902,0.0613614279,0.2535190388,268,25220,"Rank 268 : Hammond, LA Metro Area"
"Kokomo, IN Metro Area",0.0420566966,0.1669545362,0.2519050845,269,29020,"Rank 269 : Kokomo, IN Metro Area"
"Rockford, IL Metro Area",0.0114948861,0.0460145124,0.2498100174,270,40420,"Rank 270 : Rockford, IL Metro Area"
"Kingsport-Bristol, TN-VA Metro Area",0.0060132767,0.0243599118,0.2468513315,271,28700,"Rank 271 : Kingsport-Bristol, TN-VA Metro Area"
"Rochester, NY Metro Area",0.0059688772,0.0244762249,0.2438642913,272,40380,"Rank 272 : Rochester, NY Metro Area"
"Cleveland, TN Metro Area",0.0102624951,0.0438918863,0.233813034,273,17420,"Rank 273 : Cleveland, TN Metro Area"
"Rome, GA Metro Area",0.0073012153,0.0317939302,0.2296417979,274,40660,"Rank 274 : Rome, GA Metro Area"
"Michigan City-La Porte, IN Metro Area",0.0071050168,0.0309667885,0.2294399,275,33140,"Rank 275 : Michigan City-La Porte, IN Metro Area"
"Utica-Rome, NY Metro Area",0.0033511321,0.0146109341,0.2293578293,276,46540,"Rank 276 : Utica-Rome, NY Metro Area"
"Winston-Salem, NC Metro Area",0.0086107398,0.0380027272,0.2265821552,277,49180,"Rank 277 : Winston-Salem, NC Metro Area"
"Davenport-Moline-Rock Island, IA-IL Metro Area",0.0074777704,0.0331529281,0.2255538452,278,19340,"Rank 278 : Davenport-Moline-Rock Island, IA-IL Metro Area"
"Monroe, MI Metro Area",0.0074838392,0.0338667193,0.2209791593,279,33780,"Rank 279 : Monroe, MI Metro Area"
"Jacksonville, NC Metro Area",0.0062156638,0.0282876099,0.2197309648,280,27340,"Rank 280 : Jacksonville, NC Metro Area"
"Yuba City, CA Metro Area",0.007137604,0.0327271067,0.2180945623,281,49700,"Rank 281 : Yuba City, CA Metro Area"
"Grand Forks, ND-MN Metro Area",0.0077651294,0.0367061746,0.211548315,282,24220,"Rank 282 : Grand Forks, ND-MN Metro Area"
"Duluth, MN-WI Metro Area",0.0065016444,0.0308688952,0.2106212204,283,20260,"Rank 283 : Duluth, MN-WI Metro Area"
"Lima, OH Metro Area",0.0118827313,0.0592502304,0.2005516478,284,30620,"Rank 284 : Lima, OH Metro Area"
"Bakersfield-Delano, CA Metro Area",0.0069682981,0.0359795467,0.1936738727,285,12540,"Rank 285 : Bakersfield-Delano, CA Metro Area"
"Shreveport-Bossier City, LA Metro Area",0.0136801342,0.0715228985,0.1912692921,286,43340,"Rank 286 : Shreveport-Bossier City, LA Metro Area"
"Homosassa Springs, FL Metro Area",0.0089864479,0.047190199,0.1904303888,287,26140,"Rank 287 : Homosassa Springs, FL Metro Area"
"Fort Smith, AR-OK Metro Area",0.0039179562,0.0206242249,0.1899686515,288,22900,"Rank 288 : Fort Smith, AR-OK Metro Area"
"Durham-Chapel Hill, NC Metro Area",0.0069456402,0.0366156964,0.1896902388,289,20500,"Rank 289 : Durham-Chapel Hill, NC Metro Area"
"Waterloo-Cedar Falls, IA Metro Area",0.0100100614,0.0533028078,0.1877961366,290,47940,"Rank 290 : Waterloo-Cedar Falls, IA Metro Area"
"Lawton, OK Metro Area",0.0089876618,0.0480485033,0.1870539383,291,30020,"Rank 291 : Lawton, OK Metro Area"
"Dover, DE Metro Area",0.0064535731,0.0365417273,0.1766083218,292,20100,"Rank 292 : Dover, DE Metro Area"
"Elizabethtown, KY Metro Area",0.0078593417,0.0450618901,0.1744121634,293,21060,"Rank 293 : Elizabethtown, KY Metro Area"
"Sebring, FL Metro Area",0.0078010244,0.0447356258,0.1743805806,294,42700,"Rank 294 : Sebring, FL Metro Area"
"Salisbury, MD Metro Area",0.0108625204,0.0638748378,0.1700594604,295,41540,"Rank 295 : Salisbury, MD Metro Area"
"Columbia, MO Metro Area",0.0045049848,0.026991055,0.1669065855,296,17860,"Rank 296 : Columbia, MO Metro Area"
"Baton Rouge, LA Metro Area",0.005865774,0.0353620866,0.1658774854,297,12940,"Rank 297 : Baton Rouge, LA Metro Area"
"Johnson City, TN Metro Area",0.006485347,0.0394296908,0.1644787691,298,27740,"Rank 298 : Johnson City, TN Metro Area"
"Lynchburg, VA Metro Area",0.0051959992,0.0343096736,0.1514441459,299,31340,"Rank 299 : Lynchburg, VA Metro Area"
"Gettysburg, PA Metro Area",0.0037605088,0.0255559105,0.1471483013,300,23900,"Rank 300 : Gettysburg, PA Metro Area"
"Goldsboro, NC Metro Area",0.0034552431,0.0238820761,0.1446793436,301,24140,"Rank 301 : Goldsboro, NC Metro Area"
"Gulfport-Biloxi, MS Metro Area",0.0045829854,0.0346612244,0.1322222597,302,25060,"Rank 302 : Gulfport-Biloxi, MS Metro Area"
"Bloomington, IL Metro Area",0.0083706951,0.0635605055,0.1316964835,303,14010,"Rank 303 : Bloomington, IL Metro Area"
"Santa Fe, NM Metro Area",0.0043019908,0.0337375623,0.1275133847,304,42140,"Rank 304 : Santa Fe, NM Metro Area"
"Sierra Vista-Douglas, AZ Metro Area",0.0038006794,0.0312855418,0.1214835732,305,43420,"Rank 305 : Sierra Vista-Douglas, AZ Metro Area"
"Anniston-Oxford, AL Metro Area",0.0039952159,0.0347848999,0.1148548929,306,11500,"Rank 306 : Anniston-Oxford, AL Metro Area"
"Clarksville, TN-KY Metro Area",0.0037778774,0.0350951073,0.1076468405,307,17300,"Rank 307 : Clarksville, TN-KY Metro Area"
"Ithaca, NY Metro Area",0.0029417258,0.0282825894,0.1040118983,308,27060,"Rank 308 : Ithaca, NY Metro Area"
"Lubbock, TX Metro Area",0.0099724147,0.097391496,0.1023951275,309,31180,"Rank 309 : Lubbock, TX Metro Area"
"Topeka, KS Metro Area",0.0042832709,0.0439736418,0.097405417,310,45820,"Rank 310 : Topeka, KS Metro Area"
"Beaumont-Port Arthur, TX Metro Area",0.004679952,0.050607405,0.0924756364,311,13140,"Rank 311 : Beaumont-Port Arthur, TX Metro Area"
"Weirton-Steubenville, WV-OH Metro Area",0.00505252,0.066801592,0.0756347251,312,48260,"Rank 312 : Weirton-Steubenville, WV-OH Metro Area"
"Minot, ND Metro Area",0.0103045847,0.1394229325,0.0739088219,313,33500,"Rank 313 : Minot, ND Metro Area"
"Racine-Mount Pleasant, WI Metro Area",0.0018515213,0.0250614573,0.0738792346,314,39540,"Rank 314 : Racine-Mount Pleasant, WI Metro Area"
"Vineland, NJ Metro Area",0.0015996076,0.0231788315,0.0690115734,315,47220,"Rank 315 : Vineland, NJ Metro Area"
"Muncie, IN Metro Area",0.0040132219,0.0608502847,0.0659523931,316,34620,"Rank 316 : Muncie, IN Metro Area"
"Albany, GA Metro Area",0.0018016599,0.0317016444,0.0568317502,317,10500,"Rank 317 : Albany, GA Metro Area"
"Peoria, IL Metro Area",0.003022355,0.065921865,0.0458475353,318,37900,"Rank 318 : Peoria, IL Metro Area"
"Youngstown-Warren, OH Metro Area",0.0008228016,0.0247353941,0.0332641392,319,49660,"Rank 319 : Youngstown-Warren, OH Metro Area"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",0.0006459982,0.0209278736,0.0308678369,320,47260,"Rank 320 : Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area"
"Monroe, LA Metro Area",0.0019863537,0.1027528577,0.0193313721,321,33740,"Rank 321 : Monroe, LA Metro Area"
"Sandusky, OH Metro Area",0.0009215021,0.0490553055,0.0187849626,322,41780,"Rank 322 : Sandusky, OH Metro Area"
"Gadsden, AL Metro Area",0.0004721691,0.0288110586,0.016388469,323,23460,"Rank 323 : Gadsden, AL Metro Area"
"Decatur, IL Metro Area",0.0008049669,0.0547491666,0.0147028156,324,19500,"Rank 324 : Decatur, IL Metro Area"
"Mount Vernon-Anacortes, WA Metro Area",0.0009808862,0.0674930665,0.0145331407,325,34580,"Rank 325 : Mount Vernon-Anacortes, WA Metro Area"
"Macon-Bibb County, GA Metro Area",0.0006802514,0.0483142797,0.0140797172,326,31420,"Rank 326 : Macon-Bibb County, GA Metro Area"
"Valdosta, GA Metro Area",0.0004524017,0.0418971088,0.0107979209,327,46660,"Rank 327 : Valdosta, GA Metro Area"
"Johnstown, PA Metro Area",0.0001415943,0.0181056468,0.0078204509,328,27780,"Rank 328 : Johnstown, PA Metro Area"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",-0.000244095,0.0207626822,-0.01175645,329,37100,"Rank 329 : Oxnard-Thousand Oaks-Ventura, CA Metro Area"
"Jackson, TN Metro Area",-0.001562666,0.1103630768,-0.014159316,330,27180,"Rank 330 : Jackson, TN Metro Area"
"Binghamton, NY Metro Area",-0.000737478,0.0306420431,-0.024067525,331,13780,"Rank 331 : Binghamton, NY Metro Area"
"Bay City, MI Metro Area",-0.001803981,0.0360590597,-0.050028501,332,13020,"Rank 332 : Bay City, MI Metro Area"
"Manhattan, KS Metro Area",-0.002042177,0.0348285446,-0.05863516,333,31740,"Rank 333 : Manhattan, KS Metro Area"
"Parkersburg-Vienna, WV Metro Area",-0.004316967,0.0720034428,-0.059955012,334,37620,"Rank 334 : Parkersburg-Vienna, WV Metro Area"
"St. Joseph, MO-KS Metro Area",-0.002720836,0.0430368184,-0.063221114,335,41140,"Rank 335 : St. Joseph, MO-KS Metro Area"
"Owensboro, KY Metro Area",-0.003587743,0.0516422613,-0.069472995,336,36980,"Rank 336 : Owensboro, KY Metro Area"
"Springfield, IL Metro Area",-0.003343512,0.0473936183,-0.07054773,337,44100,"Rank 337 : Springfield, IL Metro Area"
"Fayetteville, NC Metro Area",-0.003861663,0.0535774051,-0.072076343,338,22180,"Rank 338 : Fayetteville, NC Metro Area"
"Winchester, VA-WV Metro Area",-0.003444369,0.0457146912,-0.075344905,339,49020,"Rank 339 : Winchester, VA-WV Metro Area"
"Elmira, NY Metro Area",-0.002369293,0.0246064075,-0.09628766,340,21300,"Rank 340 : Elmira, NY Metro Area"
"Greensboro-High Point, NC Metro Area",-0.002605521,0.022509709,-0.115750998,341,24660,"Rank 341 : Greensboro-High Point, NC Metro Area"
"Erie, PA Metro Area",-0.003635466,0.0298692083,-0.12171283,342,21500,"Rank 342 : Erie, PA Metro Area"
"Lafayette, LA Metro Area",-0.005290458,0.0385564102,-0.137213459,343,29180,"Rank 343 : Lafayette, LA Metro Area"
"Lake Charles, LA Metro Area",-0.012783072,0.0830425731,-0.153933964,344,29340,"Rank 344 : Lake Charles, LA Metro Area"
"Huntington-Ashland, WV-KY-OH Metro Area",-0.006136793,0.0385933865,-0.159011527,345,26580,"Rank 345 : Huntington-Ashland, WV-KY-OH Metro Area"
"Paducah, KY-IL Metro Area",-0.008350177,0.0490309582,-0.170304178,346,37140,"Rank 346 : Paducah, KY-IL Metro Area"
"Tuscaloosa, AL Metro Area",-0.006162423,0.0324698295,-0.189789192,347,46220,"Rank 347 : Tuscaloosa, AL Metro Area"
"New Orleans-Metairie, LA Metro Area",-0.027397454,0.1362988519,-0.201010161,348,35380,"Rank 348 : New Orleans-Metairie, LA Metro Area"
"Houma-Bayou Cane-Thibodaux, LA Metro Area",-0.01201401,0.05765318,-0.208384165,349,26380,"Rank 349 : Houma-Bayou Cane-Thibodaux, LA Metro Area"
"Watertown-Fort Drum, NY Metro Area",-0.005798228,0.0242900934,-0.238707541,350,48060,"Rank 350 : Watertown-Fort Drum, NY Metro Area"
"Decatur, AL Metro Area",-0.012619843,0.0470995871,-0.267939572,351,19460,"Rank 351 : Decatur, AL Metro Area"
"Longview, TX Metro Area",-0.011232294,0.0376712303,-0.298166378,352,30980,"Rank 352 : Longview, TX Metro Area"
"Rocky Mount, NC Metro Area",-0.031735078,0.0929482524,-0.341427381,353,40580,"Rank 353 : Rocky Mount, NC Metro Area"
"Victoria, TX Metro Area",-0.025832286,0.0731196748,-0.353287758,354,47020,"Rank 354 : Victoria, TX Metro Area"
"Texarkana, TX-AR Metro Area",-0.008236105,0.0184970653,-0.445265498,355,45500,"Rank 355 : Texarkana, TX-AR Metro Area"
"Fairbanks-College, AK Metro Area",-0.013572509,0.0300834544,-0.451161911,356,21820,"Rank 356 : Fairbanks-College, AK Metro Area"
"Cape Girardeau, MO-IL Metro Area",-0.014737324,0.0275849203,-0.534252905,357,16020,"Rank 357 : Cape Girardeau, MO-IL Metro Area"
"Charleston, WV Metro Area",-0.044993975,0.0837752424,-0.53707962,358,16620,"Rank 358 : Charleston, WV Metro Area"
